"","Sample.name","title","source.name","organism","characteristics..age","characteristics..developmental.stage","characteristics..sex","molecule","description","processed.data.file","raw.file","BioSample","Instrument.Model","Sample.name.new"
"I23_384Bulk_Plate2_S215","I23_384Bulk_Plate2_S215","Tabula Muris Senis (bulk RNA seq)","BAT_1","Mus musculus C57/BL6","24","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126872","SAMN11855074","Illumina NovaSeq 6000","BAT_1-m-24"
"I3_384Bulk_Plate1_S195","I3_384Bulk_Plate1_S195","Tabula Muris Senis (bulk RNA seq)","GAT_22","Mus musculus C57/BL6","24","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126871","SAMN11855075","Illumina NovaSeq 6000","GAT_22-m-24"
"I3_384Bulk_Plate2_S195","I3_384Bulk_Plate2_S195","Tabula Muris Senis (bulk RNA seq)","Marrow_31","Mus musculus C57/BL6","24","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126821","SAMN11855076","Illumina NovaSeq 6000","Marrow_31-m-24"
"I3_384Bulk_Plate3_S195","I3_384Bulk_Plate3_S195","Tabula Muris Senis (bulk RNA seq)","Spleen_47","Mus musculus C57/BL6","18","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126822","SAMN11855077","Illumina NovaSeq 6000","Spleen_47-m-18"
"I4_384Bulk_Plate1_S196","I4_384Bulk_Plate1_S196","Tabula Muris Senis (bulk RNA seq)","Pancreas_39","Mus musculus C57/BL6","12","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126819","SAMN11855078","Illumina NovaSeq 6000","Pancreas_39-m-12"
"I4_384Bulk_Plate2_S196","I4_384Bulk_Plate2_S196","Tabula Muris Senis (bulk RNA seq)","Limb_Muscle_22","Mus musculus C57/BL6","15","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126820","SAMN11855079","Illumina NovaSeq 6000","Limb_Muscle_22-f-15"
"I4_384Bulk_Plate3_S196","I4_384Bulk_Plate3_S196","Tabula Muris Senis (bulk RNA seq)","Liver_22","Mus musculus C57/BL6","18","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127356","SAMN11855080","Illumina NovaSeq 6000","Liver_22-m-18"
"I5_384Bulk_Plate1_S197","I5_384Bulk_Plate1_S197","Tabula Muris Senis (bulk RNA seq)","Bone_5","Mus musculus C57/BL6","3","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127357","SAMN11855081","Illumina NovaSeq 6000","Bone_5-m-3"
"I5_384Bulk_Plate2_S197","I5_384Bulk_Plate2_S197","Tabula Muris Senis (bulk RNA seq)","Spleen_31","Mus musculus C57/BL6","21","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127354","SAMN11855082","Illumina NovaSeq 6000","Spleen_31-m-21"
"I5_384Bulk_Plate3_S197","I5_384Bulk_Plate3_S197","Tabula Muris Senis (bulk RNA seq)","SCAT_39","Mus musculus C57/BL6","18","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127355","SAMN11855083","Illumina NovaSeq 6000","SCAT_39-m-18"
"I6_384Bulk_Plate1_S198","I6_384Bulk_Plate1_S198","Tabula Muris Senis (bulk RNA seq)","GAT_53","Mus musculus C57/BL6","15","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127358","SAMN11855084","Illumina NovaSeq 6000","GAT_53-m-15"
"I6_384Bulk_Plate2_S198","I6_384Bulk_Plate2_S198","Tabula Muris Senis (bulk RNA seq)","Pancreas_13","Mus musculus C57/BL6","6","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127359","SAMN11855085","Illumina NovaSeq 6000","Pancreas_13-m-6"
"I6_384Bulk_Plate3_S198","I6_384Bulk_Plate3_S198","Tabula Muris Senis (bulk RNA seq)","BAT_14","Mus musculus C57/BL6","1","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127177","SAMN11855086","Illumina NovaSeq 6000","BAT_14-m-1"
"I7_384Bulk_Plate1_S199","I7_384Bulk_Plate1_S199","Tabula Muris Senis (bulk RNA seq)","GAT_20","Mus musculus C57/BL6","1","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127176","SAMN11855087","Illumina NovaSeq 6000","GAT_20-f-1"
"I7_384Bulk_Plate2_S199","I7_384Bulk_Plate2_S199","Tabula Muris Senis (bulk RNA seq)","WBC_16","Mus musculus C57/BL6","15","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127175","SAMN11855088","Illumina NovaSeq 6000","WBC_16-f-15"
"I7_384Bulk_Plate3_S199","I7_384Bulk_Plate3_S199","Tabula Muris Senis (bulk RNA seq)","Marrow_45","Mus musculus C57/BL6","3","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127174","SAMN11855089","Illumina NovaSeq 6000","Marrow_45-m-3"
"I8_384Bulk_Plate1_S200","I8_384Bulk_Plate1_S200","Tabula Muris Senis (bulk RNA seq)","GAT_10","Mus musculus C57/BL6","1","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127173","SAMN11855090","Illumina NovaSeq 6000","GAT_10-m-1"
"I8_384Bulk_Plate2_S200","I8_384Bulk_Plate2_S200","Tabula Muris Senis (bulk RNA seq)","MAT_45","Mus musculus C57/BL6","21","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127172","SAMN11855091","Illumina NovaSeq 6000","MAT_45-f-21"
